Title,Release year,Genre,Duration,Rating,Viewership Certificate,User votes,Plot synopsis,Director,Poster Link
Scissors,,,,,,,,,
Inhabitants,,,,,,,,,
Pandemic Sex Party,,,,,,,,,
Fires Within,1991,"['Drama', 'Thriller']",1h 26m,4.7,R,475,"Released after years as a political prisoner, a Cuban rejoins his wife and daughter in Miami.",Gillian Armstrong,https://m.media-amazon.com/images/M/MV5BMjE3MzkxODQxOV5BMl5BanBnXkFtZTYwNDE5NzE5._V1_.jpg
Stray Dolls,2019,"['Crime', 'Thriller']",1h 37m,4.8,Unrated,504,One petty crime spirals into the next.,Sonejuhi Sinha,https://m.media-amazon.com/images/M/MV5BZDVmOWJlN2ItNmU2NC00NjA4LWFkMmItOWRmYTBlNGEzNzk5XkEyXkFqcGdeQXVyNjc0NDA1Nw@@._V1_.jpg
Badge 373,1973,"['Crime', 'Drama', 'Thriller']",1h 56m,5.7,R,910,"After a suspended New York City cop's ex-partner is murdered, he vows to clean up the streets.",Howard W. Koch,https://m.media-amazon.com/images/M/MV5BMDQxYjBkYTQtZjBlZC00Yzc0LTkzOWYtNmVkOWZiZDZlOGMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_.jpg
The Severed Arm,1973,['Horror'],1h 31m,4.9,R,1.1K,"Trapped in a cave, five men cut the arm off of another companion in order to ward off starvation. After they are saved, their victim seeks revenge on them one by one.",Tom Alderman,https://m.media-amazon.com/images/M/MV5BNDZkYTRiYmMtM2E0MS00NjU1LWE0NDctYWRhNGQ5YTZlYWFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
Beef,2003,['Documentary'],1h 43m,7.3,R,1K,A documentary on the evolution of MC battles from verbal one-upmanship to street warfare.,Peter Spirer,https://m.media-amazon.com/images/M/MV5BODY5NzM3MzI3OF5BMl5BanBnXkFtZTcwNjQxMDcyMQ@@._V1_.jpg
Tall Men,2016,"['Fantasy', 'Horror', 'Thriller']",2h 13m,3.7,TV-MA,617,A challenged man is stalked by tall phantoms in business suits after he purchases a car with a mysterious black credit card.,Jonathan Holbrook,https://m.media-amazon.com/images/M/MV5BY2NhMmMzY2EtYjA4Yy00MGQ2LThlNDQtZjRiODk3NzFiYzA4L2ltYWdlXkEyXkFqcGdeQXVyMzUzMzYxNTI@._V1_.jpg
Deathrow Gameshow,1987,['Comedy'],1h 23m,5.1,R,909,"Chuck Toedan's the host of a game show featuring death row convicts competing in life-or-death contests in hopes of cheating the executioner or, at the very least, winning some nice prizes for their next of kin. Not surprisingly, Chuck has made more than a few enemies, from outra... Read all",Mark Pirro,https://m.media-amazon.com/images/M/MV5BMjU0YjBkOTEtNTVhNy00MDllLTkyNzktYzdhYTJmOGI5NWQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
Ruby Ridge,2000,['Documentary'],,,,,,,
Was I Really Kidnapped?,2019,"['Mystery', 'Thriller']",1h 26m,4.9,Unrated,306,"After suffering torment and abuse at the hands of her abductor, Elle is suddenly released on the side of the road with no explanation.",Max McGuire,https://m.media-amazon.com/images/M/MV5BM2RkYTRjZmEtMGI5Ni00YTBjLTg1NzktODYyZWY4ZTUzZmM2XkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_.jpg
WiseGirls,2002,"['Crime', 'Drama', 'Thriller']",1h 36m,5.8,R,3.1K,A new waitress working at an Italian restaurant in New York City finds herself entangled in a mob-run underworld of drug dealing and murder.,David Anspaugh,https://m.media-amazon.com/images/M/MV5BMjkxNDJkMzktNzJiZi00NTgyLTg1Y2EtMzljMDgxNzUzNzIxXkEyXkFqcGdeQXVyMTA5NTExNDAw._V1_.jpg
Hiding Victoria,2006,['Drama'],1h 38m,5.4,Not Rated,195,Hard as nails 22 year old convicted felon Victoria Walker is given a tough choice by a judge: stay clean and get a job or go to jail.,Dan Chinander,https://m.media-amazon.com/images/M/MV5BMjA4NzE0ODM2MV5BMl5BanBnXkFtZTcwODY5NTI3MQ@@._V1_.jpg
Employee 665,,,,,,,,,
Skeleton Tree,,,,,,,,,
Theodora Goes Wild,1936,"['Comedy', 'Mystery', 'Romance']",1h 34m,7.1,Approved,3K,"The author of a controversially racy best-selling book tries to hide her celebrity status from her provincial small-town neighbors, who would be scandalized if they knew.",Richard Boleslawski,https://m.media-amazon.com/images/M/MV5BZDEyODk1M2YtODFjYi00YmY4LTg2OTMtMmZjN2JkYTljYTAzXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
Shiloh 2: Shiloh Season,1999,"['Drama', 'Family', 'Thriller']",1h 36m,6,PG,1K,"When Shiloh's abusive previous owner, Judd Travers, tries to retake Shiloh again, Ray tries to find a way to end the rivalry and open up the hidden kindness within the town drunk.",Sandy Tung,https://m.media-amazon.com/images/M/MV5BNmQwYjAwOWMtZTlmMC00YmMxLTg3NzEtMTFlMTA0OGUxNDc3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTEwMTkwOTI@._V1_.jpg
Submerged,2016,"['Action', 'Thriller']",1h 39m,4.1,Not Rated,1.6K,"A young woman and her friends, who've been targeted by kidnappers, must do everything they can to survive after their limo is forced off the road and plunged into a canal.",Steven C. Miller,https://m.media-amazon.com/images/M/MV5BODE5MmY0YmMtMDFlNi00MDQ1LTk0ZWItZmU2NjE4ZGRhNjM4XkEyXkFqcGdeQXVyMzQ0MDAwODE@._V1_.jpg
Ghost of Goodnight Lane,2014,"['Comedy', 'Horror']",1h 36m,4.3,Not Rated,1.3K,"When the staff inside a renovated film studio finds a co-worker dead one morning, the pieces of a 40-year puzzle add up to an angry ghost who has let the last person step inside her house. Will they get out alive?",Alin Bijan,https://m.media-amazon.com/images/M/MV5BODQ0ZThmOTItODU5Yi00MjkxLWI0MTItMmRkMDZmYTY1NDM0XkEyXkFqcGdeQXVyMTU4OTAwNDQ@._V1_.jpg
Shadow Fighter,2017,['Drama'],1h 39m,5.2,PG-13,2.8K,"A homeless ex-boxer and an inner-city kid's unlikely bond helps them face their future, while fighting the tragedy from their past.",Alyn Darnay,https://m.media-amazon.com/images/M/MV5BYWRhY2YwYTktNTg3ZS00NzRjLWI3YTktMDc5MTQyYjQ1Njk5XkEyXkFqcGdeQXVyMjc4Njg0Njg@._V1_.jpg
Losers Take All,2011,['Comedy'],1h 36m,6.2,Not Rated,442,"Chosen by the man himself, the Kevin Smith Movie Club presents Losers Take All. A band is given the chance of committing the ultimate sin: selling out. They must decide if they'll stick to their roots or give in to corporate rock.",Alex Steyermark,https://m.media-amazon.com/images/M/MV5BMzlkODM1ZGMtMDhmOC00YmQ3LWE2NGYtZGE1M2M2ZDQyMTRhXkEyXkFqcGdeQXVyMDEyNjM4OQ@@._V1_.jpg
Drop,2025,,,,,,,,
Lucy Gallant,1955,['Drama'],1h 44m,6.3,Approved,679,The success story of a dressmaker who comes to run a group of fashion shops at the expense of her love life.,Robert Parrish,https://m.media-amazon.com/images/M/MV5BZWIwYWZlMDgtN2U2My00MDRhLTk1NTItYjJhZWZkNzlkMzU5XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_.jpg
Monkey Kingdom,2015,['Documentary'],1h 21m,7.2,G,4.2K,"Life is an adventure for a young monkey and her son, living among ancient ruins in the jungle. But when her family is forced from their home, she must lead them to safety amidst strange new creatures and surroundings.",Mark Linfield,https://m.media-amazon.com/images/M/MV5BMzIxNDc1MDg0MF5BMl5BanBnXkFtZTgwNTI3ODE4MzE@._V1_.jpg
Minor Leaguer,,,,,,,,,
Trap,2022,['Crime'],,,,,,,
Step Aside,2023,['Comedy'],,,,,,,
Tom and Jerry: Cowboy Up!,2021,"['Animation', 'Adventure', 'Comedy']",1h 11m,5.2,G,629,The film finds the duo in the Wild West where they help save a ranch from the hands of a villain. The rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber.,Darrell Van Citters,https://m.media-amazon.com/images/M/MV5BMzg5NDZiMGQtY2ZjNS00NjFjLWFjNGYtNGMxMjI4OTA0NDI0XkEyXkFqcGdeQXVyMTE0MTMxNDUz._V1_.jpg
L.I.E. (Loyalty Isn't Everything),2020,['Drama'],,,,,,,
Stray,2015,['Drama'],,,,,,,
The Kid Brother,1927,"['Comedy', 'Drama', 'Family']",1h 22m,7.6,Passed,4.8K,A sheriff's milquetoast son has a chance to prove himself when a medicine show run by con artists comes into town.,Ted Wilde,https://m.media-amazon.com/images/M/MV5BMTQzNjY2NjY1Ml5BMl5BanBnXkFtZTgwOTYzODYwMjE@._V1_.jpg
Blue Like Jazz,2012,"['Comedy', 'Drama']",1h 48m,5.8,PG-13,3.1K,"Don, a nineteen-year-old sophomore at a Texas junior college, tries to escape his Bible Belt upbringing for life in the Pacific Northwest at the most godless campus in America.",Steve Taylor,https://m.media-amazon.com/images/M/MV5BMjEyNjAxNDMyMF5BMl5BanBnXkFtZTcwODI4ODE0Nw@@._V1_.jpg
COVID-19: Invasion,2021,"['Action', 'Thriller']",,,,,,,
Take,2007,"['Crime', 'Drama', 'Thriller']",1h 38m,5.8,R,1.7K,The lives of two strangers - a struggling mother and a gambling addict - who meet in tragedy. Years pass and they must come to terms with themselves and one another.,Charles Oliver,https://m.media-amazon.com/images/M/MV5BMjE3Mjk4NTI2Nl5BMl5BanBnXkFtZTcwOTM5NTE3MQ@@._V1_.jpg
Shackled,2023,['Thriller'],,,,,,,
Bad Turn Worse,2013,"['Crime', 'Drama', 'Thriller']",1h 32m,5.5,Not Rated,2.2K,Three Texas teens hope to make a break for it and escape their dead-end existence in a cotton-mill town but get sucked into the seedy underbelly of organized crime when one of them steals from the wrong man.,Simon Hawkins,https://m.media-amazon.com/images/M/MV5BMjA4NzE3ODkxMl5BMl5BanBnXkFtZTgwODIwNDA5MjE@._V1_.jpg
Visit to a Small Planet,1960,"['Comedy', 'Sci-Fi']",1h 25m,5.9,Not Rated,1.5K,The weirdest alien of the galaxy pays a visit to Earth...,Norman Taurog,https://m.media-amazon.com/images/M/MV5BZTBiMjJlYjUtMmYyZi00MDdiLTk1ZDktYzBiMThlN2UwOTkwXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Violated,1984,"['Crime', 'Drama', 'Thriller']",1h 28m,4.9,R,142,"An actress in New York City goes against a group of gangsters who are abusing her ""party girl"" friends.",Richard Cannistraro,https://m.media-amazon.com/images/M/MV5BNGI2YmRhNDktNDc5OC00OWE4LTgyNDAtOTk5YzNkOWFjNDAxXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg
Ribbit,2014,"['Animation', 'Adventure', 'Comedy']",1h 28m,4.1,PG,746,The tale of a frog with an identity crisis.,Chuck Powers,https://m.media-amazon.com/images/M/MV5BM2U1MjA3NzktNjQ0Mi00MzAwLTgxZGEtMGNmMjBjYmI1OWJkXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_.jpg
My Girlfriend's Boyfriend,2010,"['Comedy', 'Romance']",1h 24m,5.7,PG,6K,"Jesse meets Ethan, someone she could finally fall in love with, but then she meets Troy, and now she has a dilemma.",Daryn Tufts,https://m.media-amazon.com/images/M/MV5BMmFjZTc0ZTUtMmNjOC00YmIyLTkxNGItNWQzODE2NjM4ZWY5XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Cold Cross,2023,['Western'],,,,,,,
Lucky Grandma,2019,"['Comedy', 'Crime', 'Drama']",,,,,,,
Beggars of Life,1928,"['Adventure', 'Crime', 'Drama']",1h 24m,7.4,Not Rated,1.3K,"After killing her treacherous step-father, a girl tries to escape the country with a young vagabond. She dresses as a boy, they hop freight trains, quarrel with a group of hobos, and steal a car in their attempt to escape the police, and reach Canada.",William A. Wellman,https://m.media-amazon.com/images/M/MV5BMTQzNDM3MjMzN15BMl5BanBnXkFtZTcwMzc1NzM5Ng@@._V1_.jpg
Three Days to Vegas,2007,"['Comedy', 'Romance']",2h,4.6,PG-13,317,Four grumpy old men go on a road trip from their retired life in Florida to the excitement of Las Vegas in order to stop one of their daughters from marrying the wrong guy.,Charlie Picerni,https://m.media-amazon.com/images/M/MV5BNGQ4ZGZhMWYtOTYzMS00Njc1LWEzOTctZjU3MzVjMjM2ZWQxXkEyXkFqcGdeQXVyMTI2NTUxOTE@._V1_.jpg
12 O'Clock Boys,2013,"['Documentary', 'Biography', 'Crime']",1h 16m,6.4,TV-MA,1.5K,"Pug, a young boy growing up on a combative West Baltimore block, finds solace in a group of illegal dirt bike riders known as The 12 O'Clock Boys.",Lotfy Nathan,https://m.media-amazon.com/images/M/MV5BOTYyNjA3MTk0Nl5BMl5BanBnXkFtZTgwMzg5NjQxMTE@._V1_.jpg
Rift,2017,"['Drama', 'Horror', 'Mystery']",,,,,,,
Sebastian,2023,['Horror'],,,,,,,
The Formula,,,,,,,,,
"The Book of Mormon Movie, Volume 1: The Journey",2003,['Adventure'],2h,3,PG-13,532,"The story of Lehi and his wife Sariah and their four sons: Laman, Lemuel, Sam, and Nephi. Lehi leaves Jerusalem because he prophesied unto the people concerning the destruction of Jerusalem and they sought his life. He journeys into the wilderness with his family. He sends Nephi ... Read all",Gary Rogers,
You Mean Everything to Me,2020,['Drama'],,,,,,,
Erotic Fire of the Unattainable,2020,['Romance'],,,,,,,
Scent of My Daughter,2019,['Drama'],,,,,,,
Our Deadly Vows,2023,"['Drama', 'Horror', 'Thriller']",,,,,,,
Running Out Of Time,2018,['Thriller'],1h 27m,4.3,TV-14,537,Newly widowed Brenda Harper and her family are taken hostage over something from her late husband's past.,Chris Stokes,https://m.media-amazon.com/images/M/MV5BZDg5OTQ5YzktYjIzMi00Mjk5LWI0M2EtMGU3MDhlMTg4N2Q3XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
Unexpected Race,2018,['Drama'],,,,,,,
Hell House,2001,['Documentary'],1h 25m,6.8,Not Rated,1.7K,"Each Halloween, youth members of Trinity Church, Texas construct a 'Hell House'; a modern-day fire-and-brimstone sermon, presented in the form of a haunted house, seen by over 10,000 visitors each year.",George Ratliff,https://m.media-amazon.com/images/M/MV5BMTc1OTUxNzE4M15BMl5BanBnXkFtZTYwNzM3Mzg5._V1_.jpg
Showdown,1973,"['Drama', 'Western']",1h 39m,5.9,PG,1.2K,Two men who have been friends since childhood find themselves on opposite ends of the law.,George Seaton,https://m.media-amazon.com/images/M/MV5BNTFmMWFlZTMtZmFjNS00YjNhLWI3MDItMTI0NGZjZmQwNGYzXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
Mean Johnny Barrows,1975,"['Action', 'Crime', 'Drama']",1h 30m,5,R,545,"Discharged from the army, an ex-GI is hired as a hit-man by a crime syndicate that is at war with another Mafia family.",Fred Williamson,https://m.media-amazon.com/images/M/MV5BOWNkOWI2N2MtNDgzZC00YjVkLTk3MDQtOTA5ZWYxNTMxOGZjXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Copperhead,,,,,,,,,
Young Tom Edison,1940,"['Biography', 'Drama', 'Family']",1h 26m,6.8,Approved,1.3K,"Inventor Thomas Edison's boyhood is chronicled and shows him as a lad whose early inventions and scientific experiments usually end up with disastrous results. As a consequence, the townsfolk all think Tom is crazy, and creates a strained relationship between Tom and his father. ... Read all",Norman Taurog,https://m.media-amazon.com/images/M/MV5BN2UzZDZhMDctNzk2ZC00YTFmLTkzNDAtMDg5MTZjNThkODYyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
She's Too Tall,1998,['Comedy'],1h 30m,3.8,PG-13,195,A sweatshop owner lands a contract that could help a clothing designer break into high fashion.,Redge Mahaffey,
Childhood 2.0,2020,['Documentary'],1h 28m,7.5,Not Rated,207,"The mental health of our children is statistically at an all-time low. Kids spend more time online and less engaging in real life, free play and autonomy. Childhood was more or less unchanged for a millennia, this is Childhood 2.0.",Robert Muratore,https://m.media-amazon.com/images/M/MV5BMWQ3MWQ5OTItMTBiOC00Zjk3LTk5NjAtMGRhYzY1NDBjYjJhXkEyXkFqcGdeQXVyNjkxMTE0NA@@._V1_.jpg
Beyond Desire,1995,"['Action', 'Thriller']",1h 27m,4.7,R,394,"An ex-con joins forces with a sexy, high-priced call girl to help clear his name from a murder charge 14 years earlier while a brutal gangster is after him for the location of some stolen money.",Dominique Othenin-Girard,https://m.media-amazon.com/images/M/MV5BZGYzNjk5N2UtODVlZi00NTM1LTlkNTEtOTk4MTM5ZGY3YmUyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
I Like Killing Flies,2004,['Documentary'],1h 20m,7.3,R,1.3K,"This bitingly funny comedy follows a prickly, profanity-prone man seeking to preserve his dream; it dishes up bites of wisdom along the way, ultimately serving both a hilarious trip and a charming slice of New York history.",Matt Mahurin,https://m.media-amazon.com/images/M/MV5BMTdmYTNlY2ItMTQ2ZS00YWIwLWI2YTItNDdjOTNkM2NlNzMzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Life Coach,2019,"['Comedy', 'Drama', 'Family']",,,,,,,
Cash Collectors,,,,,,,,,
The Space Between,2010,['Drama'],,,,,,,
The Matthew Shepard Story: An American Hate Crime,2023,['Documentary'],1h 24m,6.9,TV-14,396,A timely remembrance to Matthew Shepard's story at a time when the LGBTQ+ community is once again under attack.,Bob Beck,https://m.media-amazon.com/images/M/MV5BNWEyNDQwYmYtNGVjZS00ZDAzLWIwZDAtNmY3ODQzZGYwMjY4XkEyXkFqcGdeQXVyNDkwMzY5NjQ@._V1_.jpg
They Came to Rob Las Vegas,1968,"['Crime', 'Drama']",2h 4m,5.9,R,714,A casino blackjack dealer plots with his girlfriend and a group of criminals to hijack and rob an armored car carrying a $7 million in cash while it's in route between Las Vegas and Los Angeles.,Antonio Isasi-Isasmendi,https://m.media-amazon.com/images/M/MV5BNGQzZmNhOTQtMzAxOC00ZWQ4LThjNzEtY2FhNTgyNzVhZjlmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg
"Occupy, Texas",2016,"['Comedy', 'Drama', 'Family']",,,,,,,
MAMA Jones,2020,['Drama'],,,,,,,
For Better or Worse,1995,"['Action', 'Comedy', 'Drama']",1h 45m,4.8,PG-13,555,A comic love triangle in which a man falls in love with his younger brother's wife.,Jason Alexander,https://m.media-amazon.com/images/M/MV5BMTkxMDE2MzU0OF5BMl5BanBnXkFtZTcwOTAxNDgxMQ@@._V1_.jpg
Fat Camp,2017,['Comedy'],1h 26m,4.6,Not Rated,267,"When Hutch is kicked out of the house and forced to work at his uncle's fat camp, he finds himself supervising an offbeat group of husky boys, who ultimately help him grow up.",Jennifer Arnold,https://m.media-amazon.com/images/M/MV5BNTZlZjgwNjYtNzUwNi00NzFjLWEwZjctOTU5MDA1NjgyZDNjXkEyXkFqcGdeQXVyODEwMTc2ODQ@._V1_.jpg
Space Pups,2023,"['Adventure', 'Family', 'Sci-Fi']",1h 32m,5,G,296,Two young children and their parents help a trio of aliens transformed as friendly dogs to escape the clutches of a local UFO hunter as they repair their spaceship.,Jason Murphy,https://m.media-amazon.com/images/M/MV5BN2MzY2Q4NmMtNTU1Yi00NGM1LWJiNWQtNjAyN2U3OTFjYWE5XkEyXkFqcGdeQXVyNDA1NDA2NTk@._V1_.jpg
The Stratum,2023,['Sci-Fi'],,,,,,,
Win a Trip to Browntown!,2022,['Comedy'],,,,,,,
The Crickets Dance,2020,"['Crime', 'Drama', 'History']",,,,,,,
Dark House,2009,"['Horror', 'Thriller']",1h 25m,4.8,R,2.3K,A troupe of actors hired for a haunted house attraction soon find that they are working in a true house of horror.,Darin Scott,https://m.media-amazon.com/images/M/MV5BMTMyNjQ2ODIzMV5BMl5BanBnXkFtZTcwMTM3MjQ4Mw@@._V1_.jpg
Dream Wife,1953,"['Comedy', 'Romance']",1h 40m,5.9,Approved,2.2K,A business tycoon decides to wed a Middle Eastern princess whose customs dictate the pair must live apart for several months before marrying. Even more complications settle in when the tycoon's ex-fiancée is assigned to chaperone the pair.,Sidney Sheldon,https://m.media-amazon.com/images/M/MV5BMDllMTMwZTctNDJkYS00ZTI5LWE0YzItZGE5MThjOGE3NmJkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
The Right One,2021,"['Comedy', 'Romance']",1h 35m,5.2,R,643,"Sara, a novelist struggling with writer's block, needs inspiration - and finds it when she meets Godfrey, a down-on-his-luck oddball who constantly changes personas and alter egos in order to cope with his past and avoid reality.",Ken Mok,https://m.media-amazon.com/images/M/MV5BNGI0ZGJlNzAtNDMxNi00N2E4LWEyNGMtNDA0OWE5MWQ4ZDhlXkEyXkFqcGdeQXVyNjA3MzE2ODE@._V1_.jpg
How to Kill Your Neighbor's Dog,2000,"['Comedy', 'Drama']",1h 47m,6.8,R,3.6K,A sarcastic playwright in LA gets new neighbors - single mom and 8 y.o. girl. His wife wants kids and babysits the girl. He doesn't want kids yet plays with her to find out how children talk - for his play. Paternal instincts?,Michael Kalesniko,https://m.media-amazon.com/images/M/MV5BM2I5YTFjNGEtY2VlOS00MjFkLTg1NjEtOTZiZWNiOTJiNTEyXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_.jpg
After Class,2019,"['Comedy', 'Drama']",,,,,,,
Scenes of the Crime,2001,"['Action', 'Drama', 'Thriller']",1h 31m,5.7,R,2.1K,"A young man about to get married earns extra cash by driving a local mobster, but things go awry when the mobster is killed by a rival crime boss.",Dominique Forma,https://m.media-amazon.com/images/M/MV5BYjRkN2NhM2MtN2I4NS00MGE1LTlhZTEtODlmZWZhZGUyZTBiXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_.jpg
Untitled Tony Accardo/Sam Giancana Biopic,,,,,,,,,
A Royal Scandal,1945,"['Comedy', 'Drama', 'History']",1h 34m,6.7,Approved,1.2K,"In 18th century Russia, the naive and idealistic lieutenant Chernov meets Empress Catherine the Great who becomes infatuated with him and appoints him Chief of the Imperial Guard.",Otto Preminger,https://m.media-amazon.com/images/M/MV5BMDhmOTk1NWQtZDc4NS00ZDYyLWIzZDgtN2FlMDhhOTlhNjBiXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_.jpg
The Mad Whale,2017,"['Drama', 'Thriller']",,,,,,,
Mr. Machine,,,,,,,,,
Heavy Petting,2007,['Comedy'],1h 34m,4.4,R,1.1K,"When Charlie meets Daphne, he never expected that he would have to battle her dog to woo her. But something unexpected happens: he begins to fall in love with the dog, realizing he never really needed a girlfriend in the first place.",Marcel Sarmiento,https://m.media-amazon.com/images/M/MV5BMTg3ODcyOTAxOF5BMl5BanBnXkFtZTcwNDc1NDM3MQ@@._V1_.jpg
The Lone Ranger,1938,['Western'],4h 24m,6.8,Approved,247,"Heroic's of Lone Ranger & Tonto, matter!",John English,https://m.media-amazon.com/images/M/MV5BZDY0YjU1ZTYtNWE1Ni00OTQ2LTg2ZDAtYzZlOTE4Mjc1OGQ3XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg
Free Enterprise,1998,"['Comedy', 'Romance']",1h 53m,6.7,R,3.4K,"Two less than successful film producers, approaching mid-life crisis and clinging to their nerdy sci-fi obsessions, suddenly meet their idol: William Shatner.",Robert Meyer Burnett,https://m.media-amazon.com/images/M/MV5BOGFlNGRkYTMtMDRhOC00MWZiLWFmYzUtZjZjMWFkMmQ1ZDc0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg
Race to Space,2001,"['Drama', 'Family']",1h 44m,5.4,PG,984,In the 1960s a young woman works at NASA as an animal trainer responsible for the chimpanzee who will go into space.,Sean McNamara,https://m.media-amazon.com/images/M/MV5BMTczNDUwMDA1NV5BMl5BanBnXkFtZTcwNTA5MTAwMQ@@._V1_.jpg
Chicago 10,2007,"['Documentary', 'Animation', 'History']",1h 50m,7.3,R,1.4K,"Archival footage, animation, and music are used to look back at the eight anti-war protesters who were put on trial following the 1968 Democratic National Convention.",Brett Morgen,https://m.media-amazon.com/images/M/MV5BMTgzNjY5NDkxMF5BMl5BanBnXkFtZTcwNTE1OTc1MQ@@._V1_.jpg
Five Against a Bullet,,,,,,,,,
Watchers III,1994,"['Sci-Fi', 'Horror']",1h 24m,3.7,R,862,"When a new and dangerous ""Outsider"" chases an intelligent golden retriever in the South American jungles, Terror grips a team of ex-Military convicts sent to capture the creature.",Jeremy Stanford,https://m.media-amazon.com/images/M/MV5BMTgxNDkzNDQyMF5BMl5BanBnXkFtZTcwMDAzODcxMQ@@._V1_.jpg
Above Suspicion,1943,"['Drama', 'Thriller', 'War']",1h 30m,6.5,Approved,2.4K,Oxford Professor Richard Myles and his new bride Frances are off on a European honeymoon. It isn't the typical honeymoon: they are on a spying mission for British Intelligence on the eve of World War II.,Richard Thorpe,https://m.media-amazon.com/images/M/MV5BMjc2NDU4OTctNWVmYy00NWFiLTkzZDQtMmJhYWM4NjI5YWQ0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg
The Spy in the Green Hat,1967,"['Action', 'Adventure', 'Comedy']",1h 32m,5.7,Not Rated,576,U.N.C.L.E. agents Napoleon Solo and Ilyia Kuryakin are sent to stop a T.H.R.U.S.H. employed ex-Nazi scientist from diverting the Gulf Stream.,Joseph Sargent,https://m.media-amazon.com/images/M/MV5BNzhlNDU1ZTMtZTY4ZC00YzEzLTliZmItZDdlYjE4NjNmMzI2XkEyXkFqcGdeQXVyOTc5MDI5NjE@._V1_.jpg
A Fish in the Bathtub,1998,['Comedy'],1h 36m,5.9,PG-13,570,"An exasperated son and daughter plays mediator and matchmaker for her elderly, eccentric parents, who just cannot stop annoying each other.",Joan Micklin Silver,https://m.media-amazon.com/images/M/MV5BNWEyOTRmZTItMWRiZC00MzM5LWIyYWUtMTc3OWYyNzhlN2YzXkEyXkFqcGdeQXVyMjUzMTYzMDI@._V1_.jpg
At Sword's Point,1952,"['Adventure', 'History']",1h 21m,6.1,Approved,823,"In 1648 France, it's the sons (and daughter) of the Three Musketeers to the rescue!",Lewis Allen,https://m.media-amazon.com/images/M/MV5BNTkwZjY5MTctOTE4Zi00NjAyLWIzMWQtYzdjYjM3N2I0ODAwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_.jpg
Van Helsing,2023,['Horror'],,,,,,,
The Belgariad,,,,,,,,,
The Sisters,2005,['Drama'],1h 53m,6,R,1.1K,"Based on Anton Chekov's ""The Three Sisters"" about siblings living in a college town who struggle with the death of their father and try to reconcile relationships in their own lives.",Arthur Allan Seidelman,https://m.media-amazon.com/images/M/MV5BMDM5MGM0YTEtNmMyNi00YTM3LThmNzYtYWI0MWQyNWY4YjljXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_.jpg
Live Free or Die,2006,"['Comedy', 'Crime']",1h 29m,5.4,R,2.5K,Lackluster criminals look to pull a job in the Granite State.,Gregg Kavet,https://m.media-amazon.com/images/M/MV5BMTUyMzA0NDg1NF5BMl5BanBnXkFtZTcwNjgzMTM0MQ@@._V1_.jpg
The American Dreamer,1971,"['Documentary', 'Biography']",1h 21m,6.6,Not Rated,459,"A documentary about actor/director Dennis Hopper, showing him at his home and studio putting together his film The Last Movie (1971).",L.M. Kit Carson,https://m.media-amazon.com/images/M/MV5BZTQyMzcwZDYtMWIxZC00MmRmLThjZWQtOWJhZmQ4ODE4NzFmXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_.jpg
Her Forgotten Daughter,2017,['Thriller'],1h 30m,5,TV-14,465,"A nanny hired to care for newborn twins turns out to be the mother's estranged daughter, given up at birth. Seeking revenge, the nanny plots to ruin her newly discovered mother's life.",Craig Goldsmith,https://m.media-amazon.com/images/M/MV5BYzk0NTkxN2MtZWI1ZC00ZTIxLThhN2QtMjc4NDQ5Mjk5MDFlXkEyXkFqcGdeQXVyNzY4ODc3OTA@._V1_.jpg
